"headword","pos","pos_number","CEFR","pos_0","pos_1","pos_2","pos_3","pos_4","pos_5","pos_6","pos_7","pos_8","pos_9","pos_10","pos_11","pos_12","pos_13","pos_14","pos_other","tag","proficiency","answer","last_check","last_check_string"
"a","determiner",8,"A1",,,,,,,,,"O",,,,,,,,,-2,"[略]",,
"a.m.","adverb",4,"A1",,,,,"O",,,,,,,,,,,,,-2,"午前",,
"A.M.","adverb",4,"A1",,,,,"O",,,,,,,,,,,,,-2,"午前",,
"abandon","verb",1,"B1",,"O",,,,,,,,,,,,,,,,-2,"捨てる",,
"abandoned","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,"捨てられた",,
"ability","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,"能力",,
"able","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,"うまい",,
"abnormal","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,"異常な",,
"abnormally","adverb",4,"B2",,,,,"O",,,,,,,,,,,,,-2,"異常に",,
"aboard","adverb",4,"B1",,,,,"O",,,,,,,,,,,,,-2,"乗って",,
"abolish","verb",1,"B2",,"O",,,,,,,,,,,,,,,,-2,"廃止する",,
"aboriginal","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,"原住民の",,
"aborigine","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,"原住民",,
"about","adverb",4,"A1",,,,,"O",,,,,,,,,,,,,-2,"副詞
　おおよそ
前置詞
　について",,
"about","preposition",3,"A1",,,,"O",,,,,,,,,,,,,,,,,
"above","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,"形容詞
　上の
副詞、前置詞
　上に",,
"above","adverb",4,"A1",,,,,"O",,,,,,,,,,,,,,,,
"above","preposition",3,"A1",,,,"O",,,,,,,,,,,,,,,,,
"abroad","adverb",4,"A2",,,,,"O",,,,,,,,,,,,,-2,"外国へ",,
"abruptly","adverb",4,"B2",,,,,"O",,,,,,,,,,,,,-2,"突然",,
"absence","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,"欠席",,
"absent","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,"欠席の",,
"absentee","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,"欠席者",,
"absolute","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,"絶対の",,
"absolutely","adverb",4,"B1",,,,,"O",,,,,,,,,,,,,-2,"絶対に",,
"absorb","verb",1,"B1",,"O",,,,,,,,,,,,,,,,-2,"吸収する",,
"abstract","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,"抽象的な",,
"absurd","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,"ばかげた",,
"abundance","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,"豊か",,
"abundant","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,"豊かな",,
"abuse","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,"罵倒",,
"academic","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,"学問的な",,
"academy","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,"学校",,
"accent","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,"強音",,
"accept","verb",1,"A2",,"O",,,,,,,,,,,,,,,,-2,"受け入れる",,
"acceptable","adjective",2,"A2",,,"O",,,,,,,,,,,,,,,-2,"受け入れた",,
"acceptance","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,"受理",,
"access","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,"接近",,
"access","verb",1,"B2",,"O",,,,,,,,,,,,,,,,,"接近する",,
"accessibility","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,"近づきやすさ",,
"accessible","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,"近づける",,
"accessory","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,"付属品",,
"accident","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,"事故",,
"accidental","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,"偶発的な",,
"accidentally","adverb",4,"B1",,,,,"O",,,,,,,,,,,,,-2,"偶発的に",,
"accommodation","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,"宿泊施設",,
"accompany","verb",1,"B1",,"O",,,,,,,,,,,,,,,,-2,"同行する",,
"accomplish","verb",1,"B1",,"O",,,,,,,,,,,,,,,,-2,"成し遂げる",,
"according to","preposition",3,"B1",,,,"O",,,,,,,,,,,,,,-2,"によると",,
"accordingly","adverb",4,"B2",,,,,"O",,,,,,,,,,,,,-2,"よって",,
"account","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,"名詞
　口座
動詞
　占める",,
"account","verb",1,"B1",,"O",,,,,,,,,,,,,,,,,,,
"accountant","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,"会計士",,
"accumulate","verb",1,"B2",,"O",,,,,,,,,,,,,,,,-2,"貯める",,
"accuracy","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,"正確さ",,
"accurate","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,"正確な",,
"accurately","adverb",4,"B1",,,,,"O",,,,,,,,,,,,,-2,"正確に",,
"accusation","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,"告発",,
"accuse","verb",1,"B1",,"O",,,,,,,,,,,,,,,,-2,,,
"accustom","verb",1,"B1",,"O",,,,,,,,,,,,,,,,-2,,,
"ache","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"ache","verb",1,"B2",,"O",,,,,,,,,,,,,,,,,,,
"achievable","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"achieve","verb",1,"A2",,"O",,,,,,,,,,,,,,,,-2,,,
"achievement","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"acid","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"acknowledge","verb",1,"B1",,"O",,,,,,,,,,,,,,,,-2,,,
"acknowledgement","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"acknowledgment","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"acquaintance","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"acquire","verb",1,"B1",,"O",,,,,,,,,,,,,,,,-2,,,
"acquisition","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"across","adverb",4,"A2",,,,,"O",,,,,,,,,,,,,-2,,,
"across","preposition",3,"A2",,,,"O",,,,,,,,,,,,,,,,,
"act","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"act","verb",1,"B1",,"O",,,,,,,,,,,,,,,,,,,
"action","noun",0,"A1","O",,,,,,,,,,,,,,,,,-2,"行動",,
"active","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"actively","adverb",4,"B2",,,,,"O",,,,,,,,,,,,,-2,,,
"activity","noun",0,"A1","O",,,,,,,,,,,,,,,,,-2,"活動",,
"actor","noun",0,"A1","O",,,,,,,,,,,,,,,,,-2,"俳優",,
"actress","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"actual","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"actually","adverb",4,"A2",,,,,"O",,,,,,,,,,,,,-2,,,
"acute","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"ad","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"adapt","verb",1,"B1",,"O",,,,,,,,,,,,,,,,-2,,,
"adaptable","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"add","verb",1,"A1",,"O",,,,,,,,,,,,,,,,-2,,,
"addict","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"addicted","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"addiction","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"addition","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"additional","adjective",2,"A2",,,"O",,,,,,,,,,,,,,,-2,,,
"additionally","adverb",4,"B2",,,,,"O",,,,,,,,,,,,,-2,,,
"address","noun",0,"A1","O",,,,,,,,,,,,,,,,,-2,"住所",,
"address","verb",1,"B1",,"O",,,,,,,,,,,,,,,,,,,
"addressee","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"adequate","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"adequately","adverb",4,"B2",,,,,"O",,,,,,,,,,,,,-2,,,
"adjective","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"adjust","verb",1,"A2",,"O",,,,,,,,,,,,,,,,-2,,,
"adjustment","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"administration","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"administrative","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"admirable","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"admiration","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"admire","verb",1,"A2",,"O",,,,,,,,,,,,,,,,-2,,,
"admiringly","adverb",4,"B2",,,,,"O",,,,,,,,,,,,,-2,,,
"admission","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"admit","verb",1,"A2",,"O",,,,,,,,,,,,,,,,-2,,,
"admittedly","adverb",4,"B2",,,,,"O",,,,,,,,,,,,,-2,,,
"adopt","verb",1,"B1",,"O",,,,,,,,,,,,,,,,-2,,,
"adopted","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"adoption","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"adorable","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"adore","verb",1,"B2",,"O",,,,,,,,,,,,,,,,-2,,,
"adorn","verb",1,"B2",,"O",,,,,,,,,,,,,,,,-2,,,
"adult","adjective",2,"A2",,,"O",,,,,,,,,,,,,,,-2,,,
"adult","noun",0,"A2","O",,,,,,,,,,,,,,,,,,,,
"advance","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"advance","verb",1,"B1",,"O",,,,,,,,,,,,,,,,,,,
"advanced","adjective",2,"A2",,,"O",,,,,,,,,,,,,,,-2,,,
"advancement","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"advantage","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"advent","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"adventure","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"adventurous","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"adverb","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"adverbial","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"adverse","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"adversely","adverb",4,"B2",,,,,"O",,,,,,,,,,,,,-2,,,
"adversity","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"advert","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"advertise","verb",1,"B1",,"O",,,,,,,,,,,,,,,,-2,,,
"advertisement","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"advertising","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"advice","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"advise","verb",1,"A2",,"O",,,,,,,,,,,,,,,,-2,,,
"adviser","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"advisor","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"aerobics","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"aeroplane","noun",0,"A1","O",,,,,,,,,,,,,,,,,-2,"飛行機",,
"affair","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"affect","verb",1,"B1",,"O",,,,,,,,,,,,,,,,-2,,,
"affection","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"affectionate","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"affectionately","adverb",4,"B2",,,,,"O",,,,,,,,,,,,,-2,,,
"afford","verb",1,"B1",,"O",,,,,,,,,,,,,,,,-2,,,
"affordable","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"afraid","adjective",2,"A1",,,"O",,,,,,,,,,,,,,,-2,,,
"after","adverb",4,"A2",,,,,"O",,,,,,,,,,,,,-2,,,
"after","conjunction",5,"B1",,,,,,"O",,,,,,,,,,,,,,,
"after","preposition",3,"A1",,,,"O",,,,,,,,,,,,,,,,,
"afternoon","noun",0,"A1","O",,,,,,,,,,,,,,,,,-2,"午後",,
"afterward","adverb",4,"B1",,,,,"O",,,,,,,,,,,,,-2,,,
"afterwards","adverb",4,"B1",,,,,"O",,,,,,,,,,,,,-2,,,
"again","adverb",4,"A1",,,,,"O",,,,,,,,,,,,,-2,,,
